N1	N10	N103	N109	N111	N114	N12	N120	N123	N124	N125	N132	N133	N139	N160	N162	N166	N167	N172	N178	N18	N182	N185	N186	N19	N198	N201	N202	N209	N210	N216	N229	N231	N232	N250	N258	N26	N265	N271	N273	N274	N279	N28	N283	N286	N289	N300	N31	N312	N314	N318	N319	N32	N325	N326	N329	N330	N334	N335	N339	N34	N340	N342	N349	N37	N373	N375	N378	N384	N391	N393	N405	N408	N431	N434	N467	N47	N473	N480	N482	N487	N496	N498	N50	N502	N508	N509	N513	N515	N521	N54	N551	N558	N563	N565	N57	N574	N576	N577	N58	N585	N587	N595	N6	N60	N600	N605	N607	N608	N61	N613	N62	N637	N64	N643	N659	N67	N69	N71	N716	N72	N727	N728	N729	N78	N85	N92	N96
chr20:22180587	0.64	0.92	0.52	0.57	0.5	0.56	0.77	0.47	0.27	0.61	0.52	0.45	0.86	0.4	0.54	0.59	0.55	0	0.76	0.38	0.43	0.67	0.71	0.53	0.86	0.73	0.52	0.67	0.68	0.68	0.79	0.62	0.88	0.36	0.31	0.7	0.57	0.8	0.55	0.61	0.65	0.69	0.61	0.38	0.38	0.5	0.71	0.57	0.61	0.24	0.64	0.5	0.62	0.47	0.61	0.58	0.43	0.47	0.47	0.38	0.52	0.52	0.59	0.66	0.55	0.56	0.68	0.47	0.55	0.47	0.41	0.47	0.6	0.62	0.73	0.59	0	0.48	0.6	0.54	0.74	0.67	0.45	0.57	0.42	0.62	0.53	0.38	0.43	0.67	0.5	0.11	0.56	0.68	0.54	0.53	0.53	0.94	0.39	0.68	0.36	0.2	0.68	0.69	0.58	0.56	0.74	0.77	0.64	0.57	0.44	0.64	0.53	0.6	0.86	0.47	0	0.39	0.6	0.5	0.61	0.35	0.53	0.6	0.82	0.52	0.47	0.83
chr20:22490519	0.27	0	0.15	0.27	0.55	0.5	0.65	0.44	0.12	0.36	0.12	0.55	0.29	0.22	0.54	0.38	0.71	0	0.33	0.65	0.71	0.24	0.57	0.14	0.58	0.15	0.43	0.33	0.8	0.44	0.5	0.5	0.43	0	0.22	0.42	0.53	0.5	0.17	0.3	0.44	0.44	0.43	0.36	0.36	0.27	0.42	0.27	0.62	0.13	0.15	0.73	0.59	0.73	0.24	0.4	0.23	0.36	0.28	0	0.1	0.12	0.44	0.15	0.27	0.25	0.29	0.44	0.53	0.5	0.6	0.48	0.29	0.21	0.38	0	0.17	0.33	0.2	0	0.45	0.54	0	0.62	0.33	0.44	0.26	0.46	0.55	0.63	0.45	0.2	0.54	0.76	0.36	0.71	0.5	0.2	0.57	0.25	0.38	0.38	0.13	0.42	0.41	0.27	0.73	0.21	0.55	0.45	0.33	0	0.44	0.4	0.53	0.27	0	0.86	0.36	0.4	0.18	0	0.5	0.43	0.71	0.23	0.37	0.83
chr20:22534281	0.87	1	0.58	0.5	0.89	0.71	0.8	0.67	0.44	0.86	0.65	0.93	0.67	0.67	0.63	0.55	0.83	0.8	0.71	0.69	0	0.5	0.83	1	0.78	0.56	0.71	0.91	0.8	0.78	0	0	0.83	0	0.62	0.88	0.89	0.88	1	0.8	0.5	0.67	0.79	0.57	0.76	0.55	0.8	0.79	0.81	0.64	0.42	0.86	0.88	0.78	0.45	0.8	0.54	0.71	0.64	0.75	0.75	0.67	0.75	0.48	0.75	0.5	0.44	0.56	0.54	0.67	0.7	0.67	0.75	0.82	0.71	0.89	0.78	0.55	0.64	0.5	0.71	0.41	0.56	1	0.5	0.5	0.72	0.53	0.69	0.74	0.45	0.6	0.72	0.84	0.44	1	0.67	0.92	0.62	0.8	0	0.79	0.29	0.67	0.75	0.77	0.89	0.67	0.82	0.62	0.6	0	0.75	0.67	0.78	0.62	0	0	0.67	0.92	0.5	0.8	0.85	0.33	0.83	0.41	0.77	0
chr20:23058513	0.65	0.74	0.72	0.76	0.76	0.74	0.69	0.69	0.71	0.63	0.65	0.78	0.76	0.75	0.77	0.86	0.55	0.57	0.64	0.71	0.75	0.84	0.71	0.69	0.63	0.5	0.52	0.62	0.57	0.76	0.9	0.76	0.41	0.75	0.7	0.7	0.63	0.58	0.62	0.62	0.66	0.38	0.85	0.61	0.68	0.69	0.91	0.5	0.8	0.48	0.62	0.75	0.72	0.57	0.71	0.54	0.81	0.64	0.83	0.81	0.64	0.73	0.65	0.48	0.67	0.61	0.59	0.78	0.73	0.76	0.72	0.53	0.79	0.7	0.72	0.87	0.57	0.81	0.65	0.5	0.92	0.84	0.82	0.67	0.7	0.79	0.91	0.73	0.55	0.58	0.81	0.71	0.46	0.64	0.59	0.78	0.71	0.74	0.82	0.67	0.71	0.5	0.58	0.74	0.72	0.61	0.64	0.66	0.56	0.7	0.75	0.64	0.39	0.67	0.68	0.77	0.5	0.66	0.74	0.67	0.53	0.81	0.74	0.43	0.73	0.78	0.62	0.65
chr20:23090437	0.57	1	0.6	0.8	0	0.62	0.93	0.6	0.75	0.82	0.77	0.73	0.75	0.71	0.82	0.83	0.75	1	0.64	0.8	0.67	0.9	1	0.9	0.82	0	0.64	0.33	0.8	0.88	0	0.67	0.8	0.8	0	0.57	0.8	0.62	0.86	0.8	0.5	0.67	0.73	0.7	0.55	0.88	0.75	0.5	0.8	0.75	0.8	0.69	0.83	0.8	0.75	0.71	0.8	0.8	0.78	1	0.88	0.69	0.73	0.62	0.71	0.7	0.7	0.75	0.71	0.75	0.69	0.69	0.57	0.65	0.75	0.83	0	0.67	0.64	0.67	0.8	0.62	0.71	0	0	1	0.7	0.73	0.83	0.88	0.78	0.7	0.43	0.7	0.88	0	0.78	0.9	0.78	0	0	0.85	0.71	0.8	0.87	0.67	0.77	0.62	0.62	0.83	0.5	0	0.33	0.67	0.71	0.62	0	0.5	0.7	0.7	0.67	0	0.75	0.38	0.75	0.92	0.55	0
chr20:23106535	0.56	0.89	0.7	0.86	0.56	0.62	0.5	0.31	0.29	0.5	0.69	0.4	0.43	0.5	0.73	0	0.5	0.67	0.86	0.62	0.8	0.71	0.5	0.64	0.38	0.64	0.45	0	0.57	0.5	0.83	0.86	0.9	0	0.8	0.83	0.7	0.83	0.9	0.86	0.4	0.64	0.75	0.62	0.55	0.86	0.57	0.75	0.8	0.8	0.68	0.92	0.33	0.64	0.87	0.83	0.75	0.71	0.62	0.56	0.75	0.86	0.5	0.79	1	0.54	0.62	0.58	0.73	1	0.55	0.58	0.62	0.82	0.43	0.83	0	0.57	0.71	0.62	0.75	0.64	0.83	0.44	0	0.7	0.53	0.87	0	0.67	0.91	0.75	0.83	0.75	0.91	0	0.67	1	0.43	0.57	0	0.88	0.67	0.4	0.74	0.45	0.89	0.78	0.67	0.62	0	0.6	0.83	0.4	0.76	0.78	0	0	0.56	0.56	0.75	0	0.5	0.67	0.55	0.76	0.67	0
chr20:23233104	1	0	0	0.86	0.6	0.4	1	0	0.5	0	0	0	0	0	0.71	0	0	0	0.89	0.43	0	0	0	0.6	0.75	0	0.83	0	0.6	0.8	0	0.57	0	0	0	0	0	0	0	0.4	0.73	0	1	0.67	1	0	0.57	0	0.62	0.67	0.6	0	0.67	0	1	0.38	0	0	0.9	0	0.86	0.43	0	1	0.33	0	0.89	0.6	0.5	0	1	0.73	0	0.4	0.7	0.71	0	0.78	0.75	0.77	1	1	0	0.83	0	0.7	1	0.78	0	0.7	0	0.62	0	0	0.57	0	0.8	0.4	0.88	0	0	0.75	0.78	0.6	0.25	0.57	0.83	0.88	0	1	0.6	0	0	0	0.4	0.38	0.83	0.5	0.6	0	0.56	0.6	0.67	0.67	0.67	0.94	0.85	0
chr20:23799227	0.53	0.29	0.95	0.9	0.56	0.84	0.73	0.75	0.79	0.61	0.66	0.81	0.58	0.81	0.84	0.79	0.77	0.67	0.78	0.65	0.89	0.84	0.73	0.7	0.79	0.77	0.79	0.64	0.71	0.64	0.63	0.94	0.45	0.71	0.63	0.4	0.7	0.62	0.71	0.7	0.8	0.79	0.76	0.81	0.83	0.67	0.67	0.67	0.76	0.82	0.81	0.83	0.63	0.69	0.76	0.84	0.71	0.75	0.68	0.56	0.96	0.8	0.67	0.57	0.8	0.77	0.71	0.85	0.44	0.67	0.77	0.71	0.63	0.86	0.56	0.62	0.8	0.77	0.75	0.47	0.7	0.82	0.35	0.71	0.81	0.65	0.64	0.76	0.77	0.5	0.84	0.71	0.62	0.69	0.75	0.44	0.68	0.5	0.86	0.53	0.84	0.84	0.69	0.67	0.71	0.68	0.65	0.81	0.77	0.71	0.76	0.76	0.73	0.76	0.81	0.74	0.7	0.57	0.77	0.9	0.68	0.42	0.76	0.77	0.67	0.84	0.65	0.54
chr20:24150026	0.5	1	0.5	0.6	0.42	0.4	0.62	0.5	0.5	0.67	0.5	1	0.27	0.75	0.5	0.44	0.33	0.67	0.75	0.5	0	0.7	0.6	0.44	0.62	0.69	0.56	0.33	0.43	0.5	0.6	0	0.8	0	0	0.43	0.67	0.8	0.43	0.75	0.69	0.3	0.75	0.4	0.47	0.8	0.27	0.75	0.62	0.69	0.75	0.7	0.6	0.62	0.62	0.73	0	0.65	0.64	0	0.72	0.7	0.56	0.43	0	0.73	0.5	0.67	0.5	0.6	0.65	0.53	0.4	0.53	0.7	0.46	0.6	0.64	0.69	0.41	0.73	0.86	0.73	0.5	0	0.25	0	0.59	0.33	0.5	0.67	0.69	0.45	0.6	0.75	1	0.82	0.58	0.92	0.77	0	0.72	0.58	0.75	0.62	0.5	0.4	0.56	0.6	0.58	0.73	0.9	0.46	0.62	0.71	0.7	0	0.86	0.46	0.45	0.23	0	0.64	0.64	0.5	0.8	0.86	0
chr20:24393990	0.58	0.74	0.48	0.65	0.66	0.49	0.81	0.63	0.55	0.53	0.55	0.5	0.64	0.85	0.59	0.67	0.61	0.55	0.69	0.83	0.53	0.76	0.69	0.55	0.83	0.59	0.82	0.59	0.61	0.73	0.8	0.5	0.39	0.71	0.6	0.73	0.76	0.68	0.36	0.57	0.75	0.94	0.78	0.68	0.83	0.5	0.85	0.52	0.69	0.38	0.65	0.52	0.79	0.75	0.65	0.74	0.47	0.53	0.47	0.73	0.55	0.56	0.82	0.6	0.54	0.47	0.45	0.75	0.6	0.89	0.79	0.57	0.93	0.58	0.69	0.86	0.88	0.56	0.7	0.52	0.81	0.5	0.62	0.8	0.5	0.68	0.76	0.58	0.56	0.76	0.79	0.65	0.44	0.83	0.6	0.63	0.57	0.7	0.84	0.68	0.73	0.7	0.88	0.55	0.5	0.53	0.64	0.65	0.89	0.78	0.69	0.61	0.88	0.69	0.73	0.5	0.71	0.72	0.59	0.77	0.48	0.81	0.77	0.67	0.7	0.58	0.88	0.45
chr20:25338173	0.62	0.5	0	1	0.5	0.7	0.91	0.43	0.53	0.83	0.57	0.7	0.83	0.75	0.42	0	0.4	0.57	0.83	0.91	0	0.86	0.71	0.17	0.67	0.33	0.6	0.79	1	0.75	0.86	0	1	0.78	0.8	1	0.44	0.57	0.82	1	0.71	0.86	0.83	0	0.4	0.62	0.73	0.78	0.71	0.5	0.67	0.8	0.76	0	0	0.17	0.5	0.71	0.5	1	0.8	0.9	0.85	0.65	0.6	0.43	0.67	0.77	0.92	0.56	0.5	0.5	0.75	0.86	0.73	0.82	0.5	0	0.6	0.58	0.8	0.8	0	0.83	0	0.67	0.57	0.68	0.86	0.7	0.6	0.77	0.75	0.92	0.83	0.88	0.75	0.71	0.62	0.5	0.6	0.8	0.89	0.58	0.75	0.77	0.83	0.71	0.89	1	0.56	0.71	0.91	0	0.7	0.56	0	0.78	0.5	0.6	0.64	0	0.9	0.73	0.2	0.71	0.73	0
chr20:25470049	0.38	0	0	0.4	0	0	0.75	0.38	0	1	0.56	0.56	0	0.6	0.57	0	0.57	0	0.6	0.45	0	0.5	0.62	0	0.5	0	0.5	0.6	0	0	0	0.6	0	0	0.8	0.43	0	0	0	0.6	0	0.67	0.57	0	0.73	0.29	0.38	0.38	0	0	0.33	0.44	0.2	0.25	0.5	0.4	0	0.4	0.9	0.83	0	0.57	0.8	0.71	0	0.62	0.57	0.44	0	0.56	0.56	0.29	0	0.54	0	0.6	0.2	0.5	0.67	0.5	0	0.5	0	0.83	0	0.44	0.57	0.75	0	0.67	0.33	0.5	0.62	0.8	0	0	0	0.5	0.6	0	0.5	0	0.36	0.4	0.6	0	0.5	0.67	0.57	0.33	0	0	0	0	0.83	0.6	0	0	0.82	0.4	0.33	0.5	0.25	0.7	0	0.33	0.92	0
chr20:25484337	0.47	0.31	0.14	0.6	0.6	0.23	0.71	0.5	0.44	0.69	0.6	0.43	0.5	0.22	0.27	0.44	0.77	0.55	0.46	0.6	0.71	0.59	0.69	0.54	0.47	0.55	0.65	0.3	0.6	0.67	0.67	0.47	0.5	0.32	0.25	0.44	0.56	0.46	0.5	0.55	0.68	0.6	0.62	0.67	0.7	0.36	0.58	0.46	0.67	0.64	0.39	0.33	0.91	0.56	0.25	0.32	0.5	0.47	0.36	0.32	0.15	0.58	0.71	0.4	0.44	0.46	0.5	0.62	0.77	0	0.43	0.81	0.73	0.29	0.67	0.65	0.57	0.33	0.67	0.38	0.45	0.67	0.33	0.95	0.42	0.47	0.6	0.73	0.55	0.75	0.5	0.57	0.38	0.62	0.5	0.56	0.5	0.45	0.63	0.5	0.33	0.5	0.5	0.18	0.46	0.71	0.94	0.6	0.35	0.71	0.27	0.22	0.53	0.75	0.5	0.58	0	0.91	0.53	0.55	0.12	0.8	0.42	0.44	0.78	0.31	0.59	0.29
chr20:25685584	0.67	0	0	0.9	0.4	0	0.92	0	0	0	0.8	0	1	0	0.67	0	0	0	1	0	0.83	1	0	1	0	0	0.8	0.67	0	0	0	0	0	0	0	0.73	1	1	0	1	0	0	0	0.83	0	0.78	0.6	1	1	0.56	0.62	1	0.8	0	0.86	0.75	0	0.86	0	0.88	0	0	0	1	0	0	0.86	0.83	0.62	0	0.86	0.67	0	0.6	0	1	0	1	0	1	0.86	0	0	0.8	1	0.92	1	0.82	0.83	0.91	1	0.83	0	0.75	0	1	0	0.8	0	0	1	1	0.83	0.88	0.83	0	0.9	0	1	0	0	1	0	0	0.75	0	0	0	0.88	0.8	0	0	0.71	1	1	0.88	1	0
chr20:29445818	0.71	0	0	0.11	0	0.14	0.4	0	0.17	0.67	0.27	0.6	0.5	0.38	0	0.43	0	0	0.64	0	0	0.92	0.62	0	0.1	0.38	0.64	0.12	0.8	0	0	0.6	0.17	0.43	0.4	0	0	0.83	0	0.4	0.57	0.83	0.71	0.86	0.4	0.62	0.27	0.56	0.57	0.29	0	0	0.5	0.2	0.27	0.8	0	0	0.64	0.2	0	0.62	0.6	0.33	0.71	0.64	0.4	0.33	0.33	0.6	0.5	0.54	0	0.28	0.67	0.12	0	0.6	0.71	0.43	0.56	0.17	0.8	0.43	0	0.4	0.79	0.57	0.5	0.54	0.73	0	0.43	0.46	0	0	0.33	0.62	0.1	0	0.6	0.36	0.09	0.8	0.7	0.2	0.67	0.42	0.6	0.38	1	0	0.29	0.43	0.6	0.29	0	0	0.17	0	0.22	0	0.67	0.36	0.44	0.33	0.46	0
chr20:30286224	1	0	0	0.33	0.38	0.88	0	1	0	0.17	1	0.8	0	0	0.67	0.44	0.8	0.67	0.57	0	0	0	0.67	0.75	0.8	0.8	0	0	0	0.67	0	0	0	0	0.67	0	0	0.83	0.6	0	0.88	0.86	0.88	0	0.67	0.8	0.67	0.9	0.83	0	0	0.8	0.75	0.91	0.89	0	0	0.75	0.86	0.8	0.5	0	0	0	0.57	0.75	0.6	0.75	0.57	0.67	0.71	1	0	0	0	1	0	0	1	0.5	0	0	0.8	0	0	0.75	0.88	0.9	0	0.83	0	0.83	0	1	0	0	0.88	0.44	0	0.8	0	0.9	0.73	0	0.8	0.73	0.6	0	0.91	0	0.89	0	0.6	0	0.88	0.71	0	0.83	0.78	0.67	0.8	0	0.8	0	1	1	0.86	0.6
chr20:31413928	0.87	0.73	0.86	0.74	0.5	0.74	0.91	0.52	0.54	0.57	0.58	0.57	0.64	0.83	0.79	1	0.67	0.75	0.75	0.5	0.47	0.52	0.54	0.66	0.68	0.32	0.58	0.67	0.65	0.59	0.67	0.75	0.44	0.71	0.64	0.48	0.67	0.7	0.82	0.76	0.72	0.65	0.44	0.58	0.55	0.42	0.71	0.83	0.78	0.56	0.59	0.69	0.71	0.74	0.58	0.69	0.75	0.89	0.75	0.67	0.87	0.74	0.59	0.59	0.72	0.83	0.82	0.57	0.79	0.75	0.74	0.5	0.74	0.56	0.65	0.89	0.47	0.78	0.54	0.48	0.75	0.68	0.52	0.92	0.65	0.47	0.62	0.67	0.7	0.57	0.75	0.78	0.71	0.73	0.6	0.68	0.68	0.67	0.94	0.61	0.44	0.75	0.8	0.71	0.62	0.64	0.73	0.62	0.76	0.69	0.78	0.75	0.48	0.55	0.5	0.77	0.62	0.64	0.59	0.54	0.74	0.71	0.65	0.81	0.71	0.74	0.67	0.82
chr20:32662107	0	0	0	1	1	0	1	0.4	1	0	0	1	0	0	1	0	0	0	0	0	1	0.55	0.88	0	0	0.88	1	0	0	0.83	0	0	1	0	0	0.8	0.92	0	0	0	1	0	1	1	1	0.88	0	1	0	0.86	1	1	1	1	1	0	1	0	0.4	0	0	0	0	1	1	0.2	0	0	1	0.29	1	1	1	0.91	0.83	0	0	0	0	1	0.67	0	1	0	0	1	0.91	1	0	1	0.86	1	0.86	1	0	0	0	0	0.86	1	0	1	1	0	0.5	0.86	1	0	0	0.89	0	0	0	0	0.8	0	0	0	1	0.8	0	0	0.92	0.78	0.8	1	1	0
chr20:32673116	0	0	0	0.7	0	0	1	0	0	0	0	1	0.8	0.4	0.43	0.82	0.67	0	0.88	0	0.86	0.67	1	0.71	0.64	0	0	0	0.8	1	0	0.67	0	0	1	0.67	0	0	0.62	1	0.71	0.4	0.77	0.6	0.75	0.62	0.9	0	0.8	0.71	0.78	0.86	0.8	0.6	0	1	0.57	0.5	0.62	1	0.71	0.75	1	0.88	0.86	0.67	0.6	0.6	0.8	0.67	0.71	0.86	0.83	0.56	0.88	0.8	0	1	0.67	0.5	0	0.91	0	0.83	0	0.78	0.79	0.8	0	0.86	0.83	0.86	0.67	0.44	0.89	0	0	0	0	0	0	0.5	0.83	0	1	0.73	0.33	0	1	0.6	0.8	1	0.83	0	0.79	0	0	0.43	0.71	0.8	0.86	0	0.8	0.5	0.5	0.91	0.6	1
chr20:32745262	0.58	0.22	0.2	0.55	0.45	0	0.55	0.5	0.4	0.5	0.27	0.47	0.5	0.5	0.29	0.25	0.6	0.44	0.17	0.39	0.4	0.41	0.57	0.5	0.32	0.33	0.43	0.27	0.62	0.43	0.62	0.5	0.18	0.31	0.41	0.41	0.43	0.27	0.58	0.38	0.47	0.2	0.44	0.45	0.42	0.38	0.36	0.22	0.4	0.21	0.14	0.3	0.5	0.43	0.32	0.38	0.28	0.43	0.35	0.56	0.29	0.53	0.48	0.42	0.31	0.21	0.42	0.55	0.18	0.5	0.38	0.32	0.46	0.29	0.7	0.54	0.6	0.31	0.43	0.23	0.62	0.2	0.27	0.72	0.36	0.31	0.33	0.22	0.54	0.4	0.47	0.45	0.71	0.6	0.43	0	0.4	0.17	0.69	0.62	0.38	0.41	0.18	0.59	0.25	0.57	0.54	0.33	0.25	0.64	0.3	0.3	0.5	0.67	0.62	0.36	0.38	0.4	0.39	0.5	0.25	0.43	0.55	0.33	0.39	0.36	0.43	0.53
chr20:33233450	0.4	0.33	0.5	0.56	0.33	0.43	0.24	0.36	0	0.44	0.62	0.31	0.33	0.2	0.26	0.46	0.33	0.5	0.47	0.54	0.57	0.62	0.82	0.57	0.5	0.58	0.5	0.6	0.78	0.58	0.69	0.42	0.27	0	0.71	0.64	0.5	0.58	0.69	0.3	0.55	0.5	0.4	0.54	0.17	0.55	0.38	0.39	0.27	0.64	0.58	0.44	0.36	0.77	0.43	0.5	0.86	0.56	0.4	0.5	0.12	0.56	0.44	0.67	0.8	0.43	0.33	0.33	0.47	0.5	0.28	0.55	0.5	0.4	0.36	0.78	0	0.78	0.67	0.42	0.33	0.63	0.75	0.41	0	0.36	0.47	0.47	0.38	0.68	0.64	0.32	0.73	0.68	0.5	0.25	0.13	0.43	0.54	0.4	0.57	0.43	0.4	0.67	0.53	0.4	0.46	0.64	0.59	0.33	0.58	0	0.56	0.4	0.8	0.42	0.4	0.33	0.33	0.57	0.6	0.33	0.61	0.56	0.23	0.53	0.36	0.38
chr20:33529048	0.86	0.6	0	0.75	0	0.5	0	0.78	0.75	0.67	0.71	1	0.6	0.86	0.83	1	0.9	0	0.73	0.8	0	0	1	0	0	0	0.5	0.86	0	0.62	0.4	0	0.8	0	0	1	0	0	0	0	0.33	0.6	0	0.67	1	0.6	0	0	0	0.6	0	0.8	0.83	0.71	0	0.8	0.5	0.6	0.5	0	0.67	0	0	0.9	0	0.8	0	0	0	0	0.86	0.92	0	0.81	0.4	0	0	0	0	0.56	0.5	1	0	0	0	0.67	0.78	0.89	0	0.83	0.75	0	0	0.93	0	0	0	0.5	0.67	0.88	0	0	0.91	0.71	0.93	0	0.9	0	0.8	0.67	0	0	0	0	0.8	0	0	0	0.6	1	0.4	0	1	1	0.67	0.73	0.75	1
chr20:33897770	0.83	0	0	0.5	1	0.4	0.5	0.57	0.7	0.67	1	1	0	1	0.9	0.75	0.8	0	0.88	0.86	0	0.89	0.93	0.8	0.78	0	0.89	0.8	0.6	1	0	0	0.29	0	0	1	0.71	0	0	0	0.43	0.91	0	1	1	0.8	0	0	0.6	0.44	1	0.5	1	0.8	0.89	0.5	0	1	0	0	0	0	1	0.89	1	0.86	0.86	0.83	0	0.5	0.87	0.9	0	0.78	0	0	0	0	0.88	1	0.8	0	1	0.6	0	0.58	0.8	0.89	0.83	1	0.71	0.8	0	0.9	0	0	0	0.83	0	0	0	0.86	0.89	0	1	1	0.83	0.88	0.6	0.58	0.5	0	0	0	1	1	0	0	0.67	0	0	0	0.57	0.8	0.71	1	0.82	0.67
chr20:34255903	0.5	0	0.43	0	0.45	0.4	0.43	0.43	0.33	0	0.8	0.17	0.8	0.33	0.6	0	0	0	0	0	0	0.3	0.38	0	0.4	0.8	0.09	0.22	0	0.5	0	0	0	0	0	0.67	0.8	0	0	0	0.33	0	0.33	0.4	0.57	0.6	0.3	0.4	0.8	0.6	0.62	0.6	0.5	0	0.4	0.29	0	0.64	0.8	0.75	0	0.83	0.29	0.46	0.5	0	0.17	0.5	0.22	0	0.45	0.25	0	0.33	0.33	0.5	0	0	0.14	0.33	0.62	0	0	0.2	0	0.25	0.42	0.69	0	0.33	0.6	0.44	0	0.3	0	0.8	0.4	0.38	0	0.57	0	0.56	0.44	0	0.42	0.29	0.5	0.38	0.4	0.5	0	0	0	0	0.38	0	0	0	0.67	0.25	0	0	0.5	0	0.43	0.75	0.45	0
chr20:35604414	0	0	0	0.6	0	0.89	0.71	0	1	0	0.43	0	0.67	0.44	1	0	0.62	0	1	0.67	0	0.4	0.6	0.8	0.57	0	0	0	0	0	0	0	0.86	0	0	0	0	0.83	0	0	0.8	0	0	0.4	0.62	0.83	0	0.6	0	0.83	0	0.86	0	0	0.6	0.6	1	0.57	0.4	0	0.8	0.8	1	1	0	0.67	0.8	0	0	0	0.56	0.44	0	0.82	0	0.86	0	0	1	0.57	0.8	0.8	0	0	0	0.86	0.78	0.58	0	1	0.88	0.9	0.75	0.67	0	0	0	0.78	0.88	0	0	0.43	0.67	0	0.71	0	0	0.75	0	0.62	0	0	0	0	0.64	0	0	0	0.89	0.71	0	0	0.56	0	0.67	0.7	0.77	0
chr20:35991681	0.73	0	0.83	0.91	0.85	0.78	0.72	0.62	0.64	0.43	0.58	0.82	0.43	1	0.55	0.64	0.57	0.4	0.57	0.62	0	0.88	0.86	0	0.38	0.33	0.73	0.71	0.8	0.88	1	0	1	0.5	0.44	0.5	0.82	0.73	0.57	0.87	0.38	0.57	0.5	0.69	0.57	0.6	0.89	0.56	0.83	0.83	0.69	0.58	0.67	0.43	0.65	0.6	0.58	0.5	0.78	0	0.62	0.67	0.73	0.64	0.75	0.83	0.6	0.71	0.5	0.7	0.65	0.83	0	0.74	0.64	0.6	0	0.7	0.58	0.57	0.62	0.6	0.64	0.69	0	0.82	0.76	0.73	0.7	0.88	0.45	0.6	0.77	0.71	0.8	0	0.8	0.59	0.69	0	0	0.6	0.78	0.92	0.65	0.67	0.62	0.54	0.73	0.57	0	0	0.67	0.62	0.73	0.9	0	0.8	0.85	0.71	0.62	0.9	0.88	0.59	0.93	0.72	0.78	0.43
chr20:36273985	0	0	0.57	0.67	0	0.6	0	0.83	0	0.62	0	0.82	0	0	0.9	0	1	0	0.75	0.86	0	0	0	0.8	1	0	0	0	0.8	1	0	0	0	0	0	0.88	0.8	0.6	0.8	0	0	0	0.8	0.75	0.6	0	0.8	0.89	0.5	0	0.67	0.75	0.88	0.6	0.5	0	0.57	0	1	0	0.8	0	0	0.71	1	0.8	0.6	0.8	1	0	0.93	1	0	0.93	0	1	0	0	0	0.56	0.83	0	0	0	0	0.91	0.86	0.69	0	1	0.8	0	0	1	1	0	0	0	0	0	0	0.8	0.67	0	1	1	0	0.86	0	0.71	0	0	0	0	0.88	0	0	0	0.75	0.71	0.86	0	0.86	0.67	0.4	0.67	0.68	0
chr20:36882750	0.57	1	0.67	0	0	0.57	0.5	0.62	0.67	0	0.6	0.5	0	0.5	0.5	0	0.2	0	0.36	0.67	0	0.4	0.81	0	0.64	0.42	0.5	0.83	0	0.67	0	0	0	0	0.17	0.5	0	0.8	0	0	0.57	0.67	0.2	1	0.25	0.75	0.6	0.17	0.71	0.43	0.67	0.7	0.64	0	0.67	0	0	0.6	0.6	0	0.38	0.67	0	0.56	0.56	0.4	0.8	0.67	0.56	0.4	0.62	0.47	0	0.72	0.75	0.6	0	0	0	0.6	0.5	0.67	0	0	0	0.58	0.78	0.5	0	0.6	0.5	0.25	0.62	0.43	0.67	0	0	0.62	0.83	0	0.5	0.8	0.67	0	0.54	0.62	0.4	0.67	0.4	0.8	0.33	0	0	0.83	0.38	0	0	0.2	0.5	0.67	0	0	0.29	0.67	0.83	0.5	0.43	0
chr20:37332605	0.73	0.29	0.59	0.64	0.69	0.5	0.67	0	0.38	0.56	0.8	0.75	0.8	0.6	0.83	1	0.77	0.71	0.56	0.59	0.2	0.4	0.86	0.83	0.58	0.29	0.8	0.68	0.64	0.6	1	0.8	0.79	0.57	0.53	0.45	0.8	0.47	0.79	0.87	0.47	0.85	0.38	0.35	0.91	0.8	0.7	0.82	0.67	0.5	0.5	0.56	0.71	0.68	0.65	0.62	0.5	0.54	0.5	0.71	0.47	0.75	0.75	0.71	0.75	0.62	0.44	0.73	0.5	0.46	0.65	0.56	0.78	0.44	0.8	0.93	0.67	1	0.7	0.62	0.68	0.33	0.36	0.67	0.8	0.59	0.75	0.5	0.67	0.6	0.44	0.71	0.83	0.62	0.86	1	0.5	0.83	0.57	0.46	0.71	0.79	0.63	0.5	0.55	0.61	0.74	0.63	0.61	0.59	0.57	0.7	0.57	0.4	0.89	0.62	0	1	0.8	0.67	0.61	0.46	0.59	0.69	0.5	0.53	0.5	0.58
